nif,name,originial-address,merged-address,address-count,zip-code,city,form,cae-code,active-2016,active-2015,active-2014,active-2013,active-2012,active-2012-2016
511245920,"NIONIMOD - CONSULTORES E SERVIÇOS, SOCIEDADE UNIPESSOAL, LDA (ZONA FRANCA DA MADEIRA)","2, Avenue Charles de Gaulle, L-1653","2, Avenue Charles de Gaulle, L-1653",1,,Funchal,UNI,,0,0,0,0,1,1
511158513,ORANGE BLOSSOM - COMÉRCIO INTERNACIONAL LDA (ZONA FRANCA DA MADEIRA),"2. Andar, Mmg Tower, East 53 Rd Street, Marbella","2. Andar, Mmg Tower, East 53 Rd Street, Marbella",1,,,LDA,,0,0,0,0,1,1
511077050,RIMIA - GESTÃO E INVESTIMENTOS LDA (ZONA FRANCA DA MADEIRA),26 Rue de Bassano 75116 Paris,26 Rue de Bassano 75116 Paris,1,9000-060,Funchal,LDA,70220,0,0,0,1,0,1
511053339,GALENO-TRADING E INVESTIMENTOS INTERNACIONAIS LDA (ZONA FRANCA DA MADEIRA),"2711 Centerville Road, Suite 400, Wilmington, Delaware","2711 Centerville Road, Suite 400, Wilmington, Delaware",1,,Funchal,LDA,,0,0,0,0,0,0
511104340,FRAGOLA - COMÉRCIO E MARKETING LDA (ZONA FRANCA DA MADEIRA),"2711 Centerville Road, Suite 400, Wilmington, Delaware, Estados Unidos da América","2711 Centerville Road, Suite 400, Wilmington, Delaware, Estados Unidos da América",1,9000-058,Funchal,LDA,,0,0,0,0,0,0
511176198,FINANTIA MADEIRA - SGPS S.A. (ZONA FRANCA DA MADEIRA),"4. V. Dimech Street, Floriana Frn 1504, República de Malta","4. V. Dimech Street, Floriana Frn 1504, República de Malta",1,,Funchal,SGPS,,0,0,0,0,0,0
511175256,"FLYWIN - COMÉRCIO, SERVIÇOS DE CONSULTORIA E INVESTIMENTOS, LDA (ZONA FRANCA DA MADEIRA)","40, Boulevard Joseph Ii, L-1840","40, Boulevard Joseph Ii, L-1840",1,9000-058,Funchal,LDA,,0,0,0,0,0,0
511137869,"FINB - SERVIÇOS DE CONSULTADORIA, SOCIEDADE UNIPESSOAL LDA (ZONA FRANCA DA MADEIRA)","412 F Route D'esch, L - 2086 Luxemburgo","412 F Route D'esch, L - 2086 Luxemburgo",2,9000-058,Luxemburgo,UNI,,0,0,0,0,0,0
511246846,JENKER - TRADING E SERVIÇOS LDA (ZONA FRANCA DA MADEIRA),"412 F, Route D'esch, L-2086 Luxemburgo","412 F Route D'esch, L - 2086 Luxemburgo",2,9050-024,Funchal,LDA,,0,0,0,0,1,1
511116152,"BACUS - SERVIÇOS DE CONSULTADORIA, LDA (ZONA FRANCA DA MADEIRA)","412F, Route D'esch, L-2086","412F, Route D'esch, L-2086",3,9000-058,Funchal,LDA,,0,0,0,0,0,0
511121652,"DUANO - CONSULTADORIA E MARKETING, LDA (ZONA FRANCA DA MADEIRA)","412F, Route D'esch, L-2086","412F, Route D'esch, L-2086",3,9000-058,Funchal,LDA,,0,0,0,0,0,0
511098634,RAVENSCOURT - TRADING E INVESTIMENTOS LDA (ZONA FRANCA DA MADEIRA),"412F, Route D'esch, L-2086","412F, Route D'esch, L-2086",3,9000-058,Funchal,LDA,,0,0,0,0,0,0
511100663,"PARTISLES - TRADING E INTERNATIONAL SERVICES, UNIPESSOAL LDA (ZONA FRANCA DA MADEIRA)","44 Rue de La Vallée, L-2661 Luxemburgo","44 Rue de La Vallée, L-2661 Luxemburgo",1,9000-177,Funchal,UNI,46900,0,0,0,1,1,2
511169086,KWIK SERVICE - CONSULTORES E SERVIÇOS LDA (ZONA FRANCA DA MADEIRA),"48, Boulevard Grande Duchesse Charlotte, L-1330","48, Boulevard Grande Duchesse Charlotte, L-1330",1,,,LDA,70220,0,0,1,1,0,2
511166656,"CIRFUND - CONSULTADORIA ECONÓMICA E PARTICIPAÇÕES, SOCIEDADE UNIPESSOAL LDA (ZONA FRANCA DA MADEIRA)","5, Place Du Théâtre, L2613","5, Place Du Théâtre, L2613",1,9000-060,Luxemburgo,UNI,,0,0,0,0,0,0
511038453,"FRANCOMADEIRA, BUILDINGS, LDA (ZONA FRANCA DA MADEIRA)","55 Boulevard Pereire, 75017","55 Boulevard Pereire, 75017",1,9004-533,Funchal,LDA,68100,0,0,0,1,1,2
511150806,"THORENS - CONSULTADORIA E SERVIÇOS, LDA (ZONA FRANCA DA MADEIRA)","6 Rue Guillaume Schneider, L-2522 Luxemburgo","6 Rue Guillaume Schneider, L-2522 Luxemburgo",1,9000-060,Funchal,LDA,,0,0,0,0,0,0
511112165,BRANDELY - COMÉRCIO E SERVIÇOS LDA (ZONA FRANCA DA MADEIRA),"8, Boulevard Royal, L-2449 Luxemburgo","8, Boulevard Royal, L-2449 Luxemburgo",1,9000-044,Funchal,LDA,,0,0,0,0,0,0
511120427,"SARRAFO - TRANSPORTES MARÍTIMOS, S.A. (ZONA FRANCA DA MADEIRA)","85, St. John Street, Valletta Vlt 1165","85, St. John Street, Valletta Vlt 1165",1,9000-176,Funchal,SA,82990,0,1,1,1,0,3
511162227,LOIS TRADEMARK - CONSULTORES E SERVIÇOS S.A. (ZONA FRANCA DA MADEIRA),"89, St. John Street, Valetta Vlt 1165","89, St. John Street, Valetta Vlt 1165",1,9050-401,Funchal,SA,69200,1,1,1,0,0,3
511149107,QUAINT - CONSULTORES E SERVIÇOS LDA (ZONA FRANCA DA MADEIRA),"89, St. John Street, Valletta, Vlt1165","89, St. John Street, Valletta, Vlt1165",1,,,LDA,69200,0,0,0,1,0,1
511162197,MELOPHONE - CONSULTORES E SERVIÇOS S.A. (ZONA FRANCA DA MADEIRA),"89, St. John Street, Vlt 1165","89, St. John Street, Vlt 1165",1,9000-039,Funchal,SA,69200,1,0,0,1,0,2
511146426,"CLEMENCEAU - CONSULTADORIA E SERVIÇOS, SOCIEDADE UNIPESSOAL LDA (ZONA FRANCA DA MADEIRA)","9-11 Rue de Louvigny, L-1946 Luxemburgo","9-11 Rue de Louvigny, L-1946 Luxemburgo",1,9000-060,Funchal,UNI,,0,0,0,0,1,1
511225849,"METROSAT - CONSULTADORIA E PARTICIPAÇÕES, UNIPESSOAL LDA (ZONA FRANCA DA MADEIRA)","Akara Bldg., 24 de Castro Street, Wickhams Cay 1, Road Town, Tortola","Akara Bldg., 24 de Castro Street, Wickhams Cay 1, Road Town, Tortola",1,9000-115,Funchal,UNI,46494,0,0,1,1,0,2
511109970,"LUREMO - SGPS, SOCIEDADE UNIPESSOAL LDA (ZONA FRANCA DA MADEIRA)","Alberto Alcocer, N. 45, Planta 4, Puerta B, Cp 28016 Madrid","Alberto Alcocer 45, Planta 4, Puerta B, Cp 28016 Madrid",1,9004-533,Funchal,UNI,64202,0,0,1,1,1,3
511170955,"CANANEIA - CONSULTORES, SERVIÇOS, SOCIEDADE UNIPESSOAL LDA (ZONA FRANCA DA MADEIRA)",Apart. Monumental Palace I Bl A-1 B-Est Monumental N 456 P,Apart. Monumental Palace I Bl A-1 B-Est Monumental 456 P,1,9000-250,Funchal,UNI,,0,0,0,0,0,0
511067208,"T. L. F. - TRADING, MARKETING, SERVIÇOS E CONSULTORES, SOCIEDADE UNIPESSOAL LDA (ZONA FRANCA DA MADEIRA)","Apartamentos Alto Lido, N. 43 - Torre Um B, 4. Andar B","Apartamentos Alto Lido 43 - Torre Um B, 4. Andar B",1,,Funchal,UNI,,0,0,0,0,0,0
511056150,"NEON-SERVIÇOS, CONSULTORES E INVESTIMENTOS LDA (ZONA FRANCA DA MADEIRA)",Apartamentos Alto Lido 43-Torre 1 B-4 B-S.martinho,Apartamentos Alto Lido 43-Torre 1 B-4 B-S.martinho,1,,Funchal,LDA,,0,0,0,0,0,0
510595863,ALLTELE LDA (ZONA FRANCA DA MADEIRA),"Rua São Francisco, N. 20, Arcadas de São Francisco, Fracção Gx","Arcadas de São Francisco, Rua de São Francisco 20, Fracção Gx",2,9000-050,Funchal,LDA,61900,0,0,1,1,0,2
511147821,INVERSIONES VIA NUEVE 3 LDA (ZONA FRANCA DA MADEIRA),"Arcadas de São Francisco, Rua de São Francisco, N. 20, Fracção Gx","Arcadas de São Francisco, Rua de São Francisco 20, Fracção Gx",2,9000-060,Funchal,LDA,46900,0,0,0,0,1,1
511118198,"WINDOW BLUE, SGPS, S.A","Av. 24 de Julho, 24","Avenida 24 de Julho, 24",1,9054-530,Funchal,SGPS,,0,0,0,0,0,0
511163053,"BANDEIRANTES, SGPS S.A. (ZONA FRANCA DA MADEIRA)",Av Arriaga 17-19,Avenida Arriaga 17-19,2,9000-060,Funchal,SGPS,,0,0,0,0,0,0
511090480,"PARBANCA, SGPS S.A. (ZONA FRANCA DA MADEIRA)","Av Arriaga, N. 17-19, 3 Andar",Avenida Arriaga 17-19,2,9000-060,Funchal,SGPS,64202,0,0,0,0,0,0
511164122,"?IKNOSS TECHNOLOGY - COMÉRCIO, SERVIÇOS DE CONSULTADORIA E INVESTIMENTOS LDA (ZONA FRANCA DA MADEIRA)?","Avenida Arriaga, N. 30, 1. Andar, Sala A, Sé, 9000 - 064 Funchal",Avenida Arriaga 30 1A,188,9000-064,Funchal,LDA,70220,0,0,1,0,0,1
513240659,"ABFD SGPS, UNIPESSOAL LDA (ZONA FRANCA DA MADEIRA)","Avenida Arriaga, N. 30 - 1. Andar, Sala A",Avenida Arriaga 30 1A,188,9000-064,Funchal,UNI,64202,0,1,1,0,0,2
511095236,"ABRUZOS - COMÉRCIO, GESTÃO E SERVIÇOS LDA (ZONA FRANCA DA MADEIRA)","Avenida Arriaga, 30-1. , Sala A",Avenida Arriaga 30 1A,188,9000-064,Funchal,LDA,,0,0,0,0,0,0
511108710,ACIDOFILUS-TRADING E INVESTIMENTOS LDA (ZONA FRANCA DA MADEIRA),"Av. Arriaga, N. 30, 1. , Sala A",Avenida Arriaga 30 1A,188,9000-064,Funchal,LDA,82990,0,0,0,1,0,1
511233876,"ADVANCEINMARK, LDA (ZONA FRANCA DA MADEIRA)","Avenida Arriaga, N. 30, 1. Andar, Sala A",Avenida Arriaga 30 1A,188,9000-064,Funchal,LDA,50200,1,1,0,0,0,2
513243372,"AFOLEXA, S.A. (ZONA FRANCA DA MADEIRA)","Avenida Arriaga, N. 30, 1. Andar, Sala A",Avenida Arriaga 30 1A,188,9000-064,Funchal,SA,46422,0,0,1,0,0,1
510254756,"AIRNAV INTERNATIONAL, UNIPESSOAL LDA (ZONA FRANCA DA MADEIRA)","Avenida Arriaga, N. 30, 1. Andar, Sala A",Avenida Arriaga 30 1A,188,9000-064,Funchal,UNI,62090,0,0,0,0,1,1
511097344,"ALCADE - COMÉRCIO, GESTÃO E SERVIÇOS LDA (ZONA FRANCA DA MADEIRA)","Avenida Arriaga, N. 30, 1. Andar, Sala A",Avenida Arriaga 30 1A,188,9000-064,Funchal,LDA,69200,1,0,0,0,0,1
511095228,"ALEDO - COMÉRCIO, GESTÃO E SERVIÇOS LDA (ZONA FRANCA DA MADEIRA)","Avenida Arriaga, N. 30, 1. Andar, Sala A,",Avenida Arriaga 30 1A,188,9000-064,Funchal,LDA,70220,1,0,1,0,0,2
511164246,"ALICUDI - COMÉRCIO, SERVIÇOS DE CONSULTADORIA E INVESTIMENTOS LDA ( ZONA FRANCA DA MADEIRA )","Av. Arriaga, 30 1 - Sala A",Avenida Arriaga 30 1A,188,9000-064,Funchal,LDA,70220,0,0,0,0,1,1
511099770,ALJARDI SGPS LDA (ZONA FRANCA DA MADEIRA),"Avenida Arriaga, N. 30, 1. Andar, Sala A",Avenida Arriaga 30 1A,188,9000-064,Funchal,SGPS,64201,1,0,1,1,1,4
511104510,"ALMIRANTADO - EMBARCAÇÕES DE RECREIO, SOCIEDADE UNIPESSOAL, LDA (ZONA FRANCA DA MADEIRA)","Av. Arriaga 30, 1. Andar Letra A",Avenida Arriaga 30 1A,188,9000-064,Funchal,UNI,77340,0,0,0,0,0,0
511077777,ALTAMIRIUM - COMÉRCIO GESTÃO E SERVIÇOS LDA (ZONA FRANCA DA MADEIRA),"Av. Arriaga, N. 30, 1. , Sala A",Avenida Arriaga 30 1A,188,,,LDA,82990,0,0,1,0,0,1
511077807,ALVROS - TRADING GESTÃO E INVESTIMENTOS LIMITADA (ZONA FRANCA DA MADEIRA),"Avenida Arriaga, N. 30, 1. Andar, Sala A",Avenida Arriaga 30 1A,188,,,LDA,,0,0,0,0,0,0
513325450,"AMAL II INTERNACIONAL, LDA (ZONA FRANCA DA MADEIRA)","Avenida Arriaga, N. 30, 1. Andar, Sala A",Avenida Arriaga 30 1A,188,9000-064,Funchal,LDA,70220,1,1,1,0,0,3
511097182,AMARGOSA - INVESTIMENTOS E SERVIÇOS LDA (ZONA FRANCA DA MADEIRA),"Avenida Arriaga, 30-1. , Sala A",Avenida Arriaga 30 1A,188,9000-064,Funchal,LDA,70220,0,0,1,0,0,1
511200641,"APACHE MARITIM SHIP, SOCIEDADE UNIPESSOAL, LDA (ZONA FRANCA DA MADEIRA)","Avenida Arriaga, N. 30, 1. Andar, Sala A",Avenida Arriaga 30 1A,188,9000-064,Funchal,UNI,50200,0,1,0,0,0,1
511076622,ARCATA - TRADING GESTÃO E INVESTIMENTOS LDA (ZONA FRANCA DA MADEIRA),Av Arriaga N 30 - 1 Sala A,Avenida Arriaga 30 1A,188,9000-064,Funchal,LDA,,0,0,0,0,0,0
511119089,"ARTAMON - COMÉRCIO, SERVIÇOS DE CONSULTORIA E INVESTIMENTOS LDA (ZONA FRANCA DA MADEIRA)","Av. Arriaga, N. 30, 1. Andar, Sala A",Avenida Arriaga 30 1A,188,9000-064,Funchal,LDA,,0,0,0,0,0,0
511164564,ASSO EUROPE - SERVIÇOS DE CONSULTORIA FINANCEIRA E INVESTIMENTOS LDA (ZONA FRANCA DA MADEIRA),"Avenida Arriaga, N. 30, 1. Andar, A",Avenida Arriaga 30 1A,188,9000-042,Funchal,LDA,,0,0,0,0,0,0
511047401,ASX-INVESTIMENTOS E PARTICIPAÇÕES LDA (ZONA FRANCA DA MADEIRA),"Avenida Arriaga, N. 30-1. Andar, Sala A",Avenida Arriaga 30 1A,188,9000-064,Funchal,LDA,70220,1,1,0,0,0,2
511160445,ATLANTIC BOAT - TRANSPORTES MARÍTIMOS LDA (ZONA FRANCA DA MADEIRA),"Avenida Arriaga, N. 30, 1. Andar, Sala A",Avenida Arriaga 30 1A,188,9050-021,Funchal,LDA,,0,0,0,0,0,0
513295097,"BE CHOSEN INTERNATIONAL, LDA (ZONA FRANCA DA MADEIRA)","Avenida Arriaga, N. 30 - 1. Andar, Letra A",Avenida Arriaga 30 1A,188,9000-064,Funchal,LDA,70220,1,1,0,0,0,2
511073550,BELCHER - GESTÃO E INVESTIMENTOS LDA (ZONA FRANCA DA MADEIRA),"Avenida Arriaga N. 30 - 1. , Sala A",Avenida Arriaga 30 1A,188,9000-064,Funchal,LDA,70220,0,0,1,0,0,1
511073534,BENISSA - TRADING GESTÃO E INVESTIMENTOS LIMITADA (ZONA FRANCA DA MADEIRA),"Avenida Arriaga, 30-1. , Sala A",Avenida Arriaga 30 1A,188,9000-064,Funchal,LDA,70220,0,0,0,1,0,1
511077793,"BERDIM - TRADING GESTÃO E INVESTIMENTOS, SOCIEDADE UNIPESSOAL LDA (ZONA FRANCA DA MADEIRA)",Av. Arriaga N 30 - 1 Sala A,Avenida Arriaga 30 1A,188,,,UNI,,0,0,0,0,0,0
513479899,"BEYOND EFFECT, LDA (ZONA FRANCA DA MADEIRA)","Avenida Arriaga, N. 30, 1. Andar, Sala A",Avenida Arriaga 30 1A,188,9000-064,Funchal,LDA,70220,0,1,0,0,0,1
513869816,"BLACKMILE HOLDING, S.A. (ZONA FRANCA DA MADEIRA)","Avenida Arriaga, N. 30, 1. Andar, Sala A",Avenida Arriaga 30 1A,188,9000-064,Funchal,SA,70220,1,0,0,0,0,1
513325468,"BLUE BRADY, UNIPESSOAL LDA (ZONA FRANCA DA MADEIRA)","Avenida Arriaga, N. 30, 1. Andar, Sala A",Avenida Arriaga 30 1A,188,9000-064,Funchal,UNI,50101,0,1,0,0,0,1
513273778,"BLUE M, SGPS UNIPESSOAL LDA (ZONA FRANCA DA MADEIRA)","Avenida Arriaga, N. 30, 1. Andar, Sala A",Avenida Arriaga 30 1A,188,9000-064,Funchal,UNI,,1,1,1,0,0,3
511277849,"BLUE RIVIERA CHARTERS, LDA (ZONA FRANCA DA MADEIRA)","Avenida Arriaga, N. 30, 1. , Sala A",Avenida Arriaga 30 1A,188,9000-064,Funchal,LDA,50200,0,0,0,0,1,1
513568212,"BLUESWELL, LDA (ZONA FRANCA DA MADEIRA)","Avenida Arriaga, N. 30, 1. Andar, Sala A",Avenida Arriaga 30 1A,188,9000-064,Funchal,LDA,50101,0,1,0,0,0,1
511095180,"BOKIS - COMÉRCIO, INVESTIMENTOS, GESTÃO E SERVIÇOS LDA (ZONA FRANCA DA MADEIRA)",Av.arriaga N 30 1 Andar Sala  A,Avenida Arriaga 30 1A,188,9000-064,Funchal,LDA,69200,0,1,0,1,0,2
513551395,"BORDERLAND, UNIPESSOAL LDA (ZONA FRANCA DA MADEIRA)","Avenida Arriaga, N. 30, 1. Andar, Sala A",Avenida Arriaga 30 1A,188,9000-064,Funchal,UNI,70220,1,1,0,0,0,2
511157851,"BRANCALA - COMÉRCIO, GESTÃO E SERVIÇOS, SOCIEDADE UNIPESSOAL, LDA ((ZONA FRANCA DA MADEIRA)","Avenida Arriaga, 30-1. , Sala A",Avenida Arriaga 30 1A,188,9000-064,Funchal,UNI,,0,0,0,0,1,1
513127739,"BRICKTEUS - IMOBILIÁRIA, S.A. (ZONA FRANCA DA MADEIRA)","Avenida Arriaga, N. 30, 1. A",Avenida Arriaga 30 1A,188,9000-064,Funchal,SA,68100,0,1,1,0,0,2
513479767,"BRIGHTEST, LDA (ZONA FRANCA DA MADEIRA)","Avenida Arriaga, N. 30, 1. A",Avenida Arriaga 30 1A,188,9000-064,Funchal,LDA,70220,1,1,0,0,0,2
513899987,"BUGEAUD, UNIPESSOAL LDA (ZONA FRANCA DA MADEIRA)","Avenida Arriaga, N. 30, 1. Andar, Sala A",Avenida Arriaga 30 1A,188,9000-064,Funchal,UNI,70220,1,0,0,0,0,1
513481672,"BUSINESSRISING, LDA (ZONA FRANCA DA MADEIRA)","Avenida Arriaga, N. 30, 1. Andar, Sala A",Avenida Arriaga 30 1A,188,9000-064,Funchal,LDA,70220,1,1,0,0,0,2
511286678,"C2RL INTERNATIONAL, LDA (ZONA FRANCA DA MADEIRA)","Avenida Arriaga, N. 30-1. , Sala A",Avenida Arriaga 30 1A,188,9000-064,Funchal,LDA,70220,0,0,0,1,0,1
511157770,"CAIREL JULY 25, SOCIEDADE UNIPESSOAL, LDA (ZONA FRANCA DA MADEIRA)","Avenida Arriaga, 30, 1. , Sala A",Avenida Arriaga 30 1A,188,9000-064,Funchal,UNI,46900,1,0,0,0,1,2
513856790,"CARBONINE TRADE HOUSE, S.A. (ZONA FRANCA DA MADEIRA)","Avenida Arriaga, N. 30, 1. Andar, Sala A",Avenida Arriaga 30 1A,188,9000-064,Funchal,SA,70220,1,0,0,0,0,1
511120885,"CASERA - COMÉRCIO, SERVIÇOS DE CONSULTORIA E INVESTIMENTOS LDA (ZONA FRANCA DA MADEIRA)","Avenida Arriaga, N. 30, 1. Andar, Sala A",Avenida Arriaga 30 1A,188,9000-064,Funchal,LDA,69200,0,0,1,0,0,1
511141149,"CELCATA - COMÉRCIO, SERVIÇOS DE CONSULTADORIA E INVESTIMENTOS LDA (ZONA FRANCA DA MADEIRA)","Avenida Arriaga, N. 30, 1. , Sala A",Avenida Arriaga 30 1A,188,9000-064,Funchal,LDA,,0,0,0,0,0,0
511246560,CHARVILLE - CONSULTORES E SERVIÇOS LDA (ZONA FRANCA DA MADEIRA),"Avenida Arriaga, N. 30 - 1. Andar - Sala A",Avenida Arriaga 30 1A,188,9000-064,Funchal,LDA,70220,1,0,1,1,1,4
511122268,"CHENOA INVESTMENTS - CONSULTADORIA E PROJECTOS, SGPS, UNIPESSOAL LDA (ZONA FRANCA DA MADEIRA)","Avenida Arriaga N. 30, 1. Andar, Sala A",Avenida Arriaga 30 1A,188,9000-060,Funchal,UNI,64202,0,0,0,0,1,1
513561390,"CLEARLAKE, UNIPESSOAL LDA","Avenida Arriaga, N. 30, 1. Andar, Sala A",Avenida Arriaga 30 1A,188,9000-064,Funchal,UNI,70220,1,1,0,0,0,2
511149425,"COMIQUE - COMÉRCIO, SERVIÇOS DE CONSULTADORIA E INVESTIMENTOS, SOCIEDADE UNIPESSOAL, LDA (ZONA FRANCA DA MADEIRA)",Av. Arriaga N 30 - 1 Sala A,Avenida Arriaga 30 1A,188,9000-064,Funchal,UNI,,0,0,0,0,0,0
514093412,"DANTON, UNIPESSOAL LDA (ZONA FRANCA DA MADEIRA)","Avenida Arriaga, N. 30-1. Andar, Sala A",Avenida Arriaga 30 1A,188,9000-064,Funchal,UNI,46510,1,0,0,0,0,1
513552189,"DAYAFTER, LDA (ZONA FRANCA DA MADEIRA)","Avenida Arriaga N. 30, 1. Sala A",Avenida Arriaga 30 1A,188,9000-064,Funchal,LDA,70220,1,1,0,0,0,2
511155450,"DEEP INTERNATIONAL - COMÉRCIO, SERVIÇOS DE CONSULTADORIA E INVESTIMENTOS, SOCIEDADE UNIPESSOAL LDA (ZONA FRANCA DA MADEIRA)","Avenida Arriaga, N. 30, 1. Andar, Sala A",Avenida Arriaga 30 1A,188,,,UNI,70220,0,0,0,0,0,0
513481648,"DEEPVIEW, LDA (ZONA FRANCA DA MADEIRA)","Avenida Arriaga, N. 30, 1. Andar, Sala A",Avenida Arriaga 30 1A,188,9000-064,Funchal,LDA,70220,0,1,0,0,0,1
513560971,"DIAMONDTRACK, LDA (ZONA FRANCA DA MADEIRA)","Avenida Arriaga, N. 30, 1. Andar, Sala A",Avenida Arriaga 30 1A,188,9000-064,Funchal,LDA,70220,1,1,0,0,0,2
511157797,"DICIOLA, LDA (ZONA FRANCA DA MADEIRA)","Avenida Arriaga, N. 30, 1. Sala A",Avenida Arriaga 30 1A,188,9000-064,Funchal,LDA,70220,1,0,0,0,0,1
511158149,"DINGLI - COMÉRCIO, SERVIÇOS DE CONSULTADORIA E INVESTIMENTOS LDA (ZONA FRANCA DA MADEIRA)","Avenida Arriaga, 30-1. , Sala A",Avenida Arriaga 30 1A,188,9000-064,Funchal,LDA,70220,0,0,0,1,0,1
511146728,"DONBLEU - COMÉRCIO, SERVIÇOS DE CONSULTADORIA E INVESTIMENTOS LDA (ZONA FRANCA DA MADEIRA)","Avenida Arriaga, 30-1. , Sala A",Avenida Arriaga 30 1A,188,9000-064,Funchal,LDA,70220,0,0,0,1,0,1
511111681,DONCIA - INVESTIMENTOS E SERVIÇOS S.A.(ZONA FRANCA DA MADEIRA),Av. Arriaga N 30 - 1 Sala A,Avenida Arriaga 30 1A,188,9000-064,Funchal,SA,70220,0,0,0,1,0,1
511149476,"DORIHURST - COMÉRCIO, SERVIÇOS DE CONSULTADORIA E INVESTIMENTOS, SGPS LDA (ZONA FRANCA DA MADEIRA)","Avenida Arriaga, N. 30, 1. Andar, Sala A",Avenida Arriaga 30 1A,188,9000-060,Funchal,SGPS,64202,1,0,0,0,1,2
